source_fragment_id,source_document_id,fragment_type,fragment_order,text_excerpt,normalized_text,selector_hint,notes
SF0001,SD0001,title,1,Università di Bologna,università di bologna,//title,raw snapshot title
SF0002,SD0001,meta_description,2,"L'Alma Mater Studiorum è la prima università del mondo occidentale e oggi promuove la strada dell'innovazione offrendo un'ampia offerta formativa, corsi di laurea internazionali e post laurea.","l'alma mater studiorum è la prima università del mondo occidentale e oggi promuove la strada dell'innovazione offrendo un'ampia offerta formativa, corsi di laurea internazionali e post laurea.",//meta[@name='description'],raw snapshot meta description
SF0003,SD0001,h1,3,Home page,home page,//h1[1],raw snapshot first h1
SF0004,SD0002,title,1,Studiare — Università di Bologna,studiare università di bologna,//title,raw snapshot title
SF0005,SD0002,h1,2,Studiare,studiare,//h1[1],raw snapshot first h1
SF0006,SD0003,title,1,Scienze della comunicazione - Laurea - Bologna,scienze della comunicazione laurea bologna,//title,raw snapshot title
SF0007,SD0003,meta_description,2,"Il Corso forma nelle aree della pubblicità, pubbliche relazioni, vendita e distribuzione, organizzazione di fiere convegni e eventi culturali, nuovi media e social media","il corso forma nelle aree della pubblicità, pubbliche relazioni, vendita e distribuzione, organizzazione di fiere convegni e eventi culturali, nuovi media e social media",//meta[@name='description'],raw snapshot meta description
SF0008,SD0003,h1,3,home page,home page,//h1[1],raw snapshot first h1
SF0009,SD0004,title,1,Semiotica — Università di Bologna,semiotica università di bologna,//title,raw snapshot title
SF0010,SD0004,h1,2,Laurea Magistrale in Semiotica,laurea magistrale in semiotica,//h1[1],raw snapshot first h1
SF0011,SD0005,title,1,Università di Padova,università di padova,//title,raw snapshot title
SF0012,SD0006,title,1,Didattica | Università di Padova,didattica università di padova,//title,raw snapshot title
SF0013,SD0007,title,1,Comunicazione | Università di Padova,comunicazione università di padova,//title,raw snapshot title; no h1 or meta description detected
SF0014,SD0008,title,1,| Università di Padova,università di padova,//title,raw snapshot title only; page likely needs rendered DOM follow-up
SF0015,SD0009,title,1,Home ~ UNIPI,home unipi,//title,raw snapshot title
SF0016,SD0010,title,1,Didattica ~ UNIPI,didattica unipi,//title,raw snapshot title
SF0017,SD0010,meta_description,2,"Studiare all’Unipi: corsi, iscrizioni e servizi per ogni fase del percorso accademico, dall’orientamento alle opportunità post-laurea.","studiare all’unipi: corsi, iscrizioni e servizi per ogni fase del percorso accademico, dall’orientamento alle opportunità post-laurea.",//meta[@name='description'],raw snapshot meta description
SF0018,SD0011,title,1,Discipline dello spettacolo e della comunicazione ~ UNIPI,discipline dello spettacolo e della comunicazione unipi,//title,raw snapshot title
SF0019,SD0011,h1,2,Discipline dello spettacolo e della comunicazione,discipline dello spettacolo e della comunicazione,//h1[1],raw snapshot first h1
